recipe_id,length,sentiment,topics,persona_name,characteristics.age,characteristics.gender_identity,characteristics.occupation,characteristics.political_leaning,characteristics.communication_style,characteristics.core_motivation
rID_635,Medium,Positive,['Justice & Legal System'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_32,Medium,Mixed,['Animal Welfare'],The 'Backbone Conservative' Retiree,70,Male,Retired Small Business Owner,"Staunchly Conservative, believes in fiscal responsibility and traditional values.","Formal, direct, and expresses concern.",Preserving a way of life and ensuring financial prudence in government.
rID_740,Short,Positive,['Childcare & Family Support'],The NHS Doctor,42,Female,General Practitioner,"Not overtly political, but experiences drive centre-left concerns.","Professional, evidence-based, and conveys a sense of urgency and moral responsibility.",A deep concern for the state of the National Health Service and patient welfare.
rID_65,Medium,Mixed,['Trade & Brexit Issues'],The 'Gig Economy' Worker,26,Male,Delivery Driver / Freelancer,"Likely left-leaning, feels disenfranchised.","Often written late at night, expressing frustration with a lack of rights and security.",The precariousness of modern work and a desire for better employment rights.
rID_312,Medium,Positive,['Healthcare & NHS'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_684,Medium,Very Positive,['Business & Enterprise'],The Individual Facing a Legal Injustice,40,Male,Varies,"Focused on their specific case, not party politics.","A detailed and impassioned account of their case, possibly with legal jargon.",A belief that they have been wronged by the legal system and the MP is a final court of appeal.
rID_563,Medium,Very Negative,['Agriculture & Rural Affairs'],The 'Progressive Activist' Student,19,Non-binary,University Student,"Very left-wing (Labour/Green), passionate about social justice and environmentalism.","Well-researched and emotionally charged, often referencing reports and articles.",A deep-seated belief in systemic change and holding power to account.
rID_156,Medium,Very Positive,['Healthcare & NHS'],The Landlord,55,Male,Property Landlord,"Tends to be right-leaning, focused on property rights and minimal regulation.","Driven by financial self-interest, can be defensive in tone.",Protecting their investment and business interests from perceived hostile regulation.
rID_1076,Short,Mixed,"['Transportation & Infrastructure', ""Employment & Workers' Rights""]",The 'Left-Behind Patriot' Factory Worker,50,Male,Factory Worker,Traditionally Labour but now politically homeless or leans towards populist right.,Expresses a tone of disillusionment and a sense of injustice; can be emotional.,A feeling that their community has been forgotten by politicians and a desire for secure employment.
rID_646,Medium,Mixed,['Taxation & Public Spending'],The Devout Religious Leader,50,Male,Vicar / Imam / Rabbi,"Varies, but often socially conservative with a focus on community cohesion and charity.","Respectful, guided by faith, and often appealing to the MP's moral compass.",Advocating for their religious community and promoting faith-based values in society.
rID_1148,Medium,Negative,"['Cost of Living & Economy', 'Transportation & Infrastructure']",The Zero-Hours Contract Worker,22,Female,Hospitality / Warehouse Worker,Likely left-leaning but too exhausted or precarious to be an activist.,"Direct, factual, and outlining a specific injustice.","A direct injustice experienced at work (e.g., shifts cancelled at no notice, lack of sick pay)."
rID_765,Medium,Negative,['Housing & Planning'],The Military Veteran,58,Male,Retired / Security work,"Tends to be patriotic and socially conservative, but critical of government support.","Direct, sometimes blunt, with a strong sense of entitlement to support.",A feeling of being let down by the system after serving the country.
rID_63,Medium,Mixed,['Cost of Living & Economy'],The 'Apolitical Centrist' Young Professional,28,Male,Finance/Tech Professional,"Not strongly aligned, economically right-leaning but socially liberal.","Concise, data-driven, and focused on practical solutions.","Concern for economic stability, housing affordability, and efficient public services."
rID_831,Short,Very Negative,['Immigration & Asylum'],The Small Business Owner,48,Male,Local Shop/Cafe Owner,"Politically fluid, votes based on policies affecting small businesses.","Direct, can show stress and frustration related to business pressures.",Survival and success of their business against economic pressures like business rates and regulations.
rID_1117,Medium,Negative,"['Disability Rights & Access', 'Environment & Climate Change']",The Carer for a Disabled Family Member,55,Female,Full-time Unpaid Carer,"No time for politics, but experiences make her critical of social care funding.","Tired, frustrated, but articulate about the failings of the support system.",The failure of other support systems has left her with no other choice but to contact her MP.
rID_198,Long,Very Negative,['Social Security & Benefits'],The 'Too Busy to Engage' Entrepreneur,35,Female,Runs a successful start-up,Politically aware but feels she has no time to get involved; probably centrist.,"Concise, professional, and to the point.",A specific piece of regulation or policy directly threatens her business's viability.
rID_462,Medium,Positive,['Healthcare & NHS'],The Overwhelmed Single Parent,32,Female,Juggling part-time work and childcare,No time or energy for political engagement.,"A cry for help, written out of desperation, can be emotional and unstructured.","Hitting a crisis point with finances, childcare, or housing."
rID_1098,Medium,Very Positive,"['Consumer Rights & Issues', 'Agriculture & Rural Affairs']",The 'Middle Briton' who is Hard to Win Over,45,Gender-neutral,Office Manager / Administrator,"In the middle ground on many issues, a key swing voter.",Pragmatic and focused on a specific local issue without broader political commentary.,A practical problem that needs a practical solution from their elected representative.
rID_509,Medium,Negative,['Mental Health Services'],The Apathetic Teenager,18,Male,Student / Unemployed,Low interest and knowledge of politics.,"Very informal, uses slang, may be very short.","A very specific, personal, and immediate issue (e.g., closure of a local skatepark)."
rID_1110,Medium,Positive,"['Healthcare & NHS', 'Pensions & National Insurance']",The Individual with a Strong Distrust of Authority,42,Male,"Varies, often self-employed",Believes in conspiracy theories and sees the government as an oppressive force.,"Accusatory, suspicious in tone, may link to esoteric websites.",A belief that they are uncovering a conspiracy or fighting a hidden injustice.
rID_254,Medium,Very Positive,"['Culture, Media & Sport']",The 'Established Liberal' Professional,52,Male,Lawyer,"Socially liberal and economically centrist, likely a Liberal Democrat voter.","Articulate, well-reasoned, and focused on principles.","Upholding the rule of law, individual freedoms, and rational policymaking."
rID_835,Medium,Neutral,['Disability Rights & Access'],The Expat with a Problem,45,Female,"Varies (e.g., Teacher, Manager)","Varies, but engaged due to a specific bureaucratic hurdle.","Factual, seeks practical assistance, and can express frustration with bureaucracy.","Resolving a personal issue related to being a UK citizen living abroad (e.g., pensions, voting rights)."
rID_331,Short,Very Negative,['Childcare & Family Support'],The Person with Severe Mental Health Issues,40,Male,Unemployed / Unable to work,"Often feels persecuted by the state, leading to extreme political views.","May be difficult to follow, rambling, and express a sense of persecution or extreme anxiety.",A feeling that the MP is the only person who might listen to their complex and overwhelming problems.
rID_288,Medium,Negative,['Housing & Planning'],The Single-Issue Campaigner,38,Female,Works Part-Time,"Varies depending on the issue, but highly engaged on that one topic.","Persistent, detailed, emotionally invested, and well-informed on their specific topic.","An intense personal or moral connection to a specific cause (e.g., animal welfare, health condition, local development)."
